user,job,label
"Backend Developer Django, Java, PHP Highly skilled Backend Developer committed to excellence in Django, Java, PHP.","Marketing Executive Promotional Campaigns,Retail Marketing,Marketing Collaterals,Digital Campaigns,Branding,Campaigns,Retail,Digital",0
"Backend Developer Django, Java, PHP Highly skilled Backend Developer committed to excellence in Django, Java, PHP.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
"Backend Developer Django, Java, PHP Highly skilled Backend Developer committed to excellence in Django, Java, PHP.","Trade Marketing Executive Brand Activation,Trade Marketing,Brand Campaigns,Retail Marketing,Promotions,Campaigns,Branding,Brand",0
"Backend Developer Django, Java, PHP Highly skilled Backend Developer committed to excellence in Django, Java, PHP.","Marketing Executive Promotional Campaigns,Marketing Campaigns,Branding,Marketing Planning,Brand Promotion,Btl,Brand Awareness,Campaigns",0
"Backend Developer Django, Java, PHP Highly skilled Backend Developer committed to excellence in Django, Java, PHP.","MARKETING EXECUTIVE Promotional events,Marketing Executive,Promotional,Events,Marketing",0
"Backend Developer Node.js, Python, Django Dedicated professional with strong expertise in Node.js, Python, Django and a passion for Machine Learning.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
"Backend Developer Node.js, Python, Django Dedicated professional with strong expertise in Node.js, Python, Django and a passion for Machine Learning.","Marketing Executive Promotional Campaigns,Retail Marketing,Marketing Collaterals,Digital Campaigns,Branding,Campaigns,Retail,Digital",0
"Backend Developer Node.js, Python, Django Dedicated professional with strong expertise in Node.js, Python, Django and a passion for Machine Learning.","Marketing Executive Marketing Strategy,Marketing Communication,Brand Marketing,Brand Development,Marketing Planning,Brand Promotion,Marketing Campaigns,Marketing Activities",0
"Backend Developer Node.js, Python, Django Dedicated professional with strong expertise in Node.js, Python, Django and a passion for Machine Learning.","Trade Marketing Executive Brand Activation,Trade Marketing,Brand Campaigns,Retail Marketing,Promotions,Campaigns,Branding,Brand",0
"Backend Developer Node.js, Python, Django Dedicated professional with strong expertise in Node.js, Python, Django and a passion for Machine Learning.","Marketing Executive Promotional Campaigns,Marketing Campaigns,Branding,Marketing Planning,Brand Promotion,Btl,Brand Awareness,Campaigns",0
"Backend Developer Node.js, Java, PHP Goal-oriented Backend Developer with expertise in Node.js, Java, PHP.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
"Backend Developer Node.js, Java, PHP Goal-oriented Backend Developer with expertise in Node.js, Java, PHP.","Marketing Executive Promotional Campaigns,Retail Marketing,Marketing Collaterals,Digital Campaigns,Branding,Campaigns,Retail,Digital",0
